ID,A-Factor,B-Factor,C-Factor,D-Factor,E-Factor,Growth Rate
96,3.31277025,21.61811138,160.532729,35.09980831,46.7047255,257.8526177
97,2.637911503,26.6936684,114.9264952,24.71845674,58.93816566,259.956398
98,11.39311554,34.1029905,181.7434274,30.27417168,12.8685858,197.1972161
99,2.594668424,33.19804908,159.5419876,32.85676384,72.37883046,171.9582338
100,6.214140224,13.33319615,156.257113,40.09455851,97.41193014,370.100792
101,7.515070524,22.95493025,168.3854319,26.78709682,61.11338805,234.5857439
102,15.55238499,13.01514208,157.5774618,26.71532389,80.46756151,395.8546931
103,9.512902524,23.15177544,153.8401131,37.51930738,92.2637039,336.1346832
104,18.77075866,30.32212507,194.4470006,39.79166998,75.71018038,315.8391849
105,7.721478169,44.85135696,184.5678283,27.08585124,59.80680085,74.40023959
106,6.051874451,26.19902765,116.5255425,46.49822958,42.74064682,402.7646415
107,0.96155705,6.565044755,187.2790175,41.61202516,70.84724275,303.7273927
108,12.23613141,31.51438876,177.4014225,34.68446864,0.393584076,251.8944797
109,16.8042929,16.4004251,136.6265593,32.28460062,50.58299517,457.810263
110,1.042558533,45.74918801,185.0272164,26.22134832,87.73007509,-3.017233938
111,1.962498752,37.41249357,168.5646209,41.39896638,8.490364669,165.0156162
112,5.59625168,11.47891106,189.3566568,45.16338717,32.8828503,334.1926726
113,1.473207566,36.79672468,143.4069362,30.91401141,10.23576145,161.7079121
114,6.046232635,35.06273568,129.6627463,38.19599242,23.43763376,281.7403818
115,5.914756034,33.21030075,148.3627144,24.04169345,88.9172178,183.3687942
116,2.856389837,38.32956976,135.8662656,31.40907538,53.55327602,183.8993256
117,10.52128128,8.049801552,124.8621929,38.34821443,74.94366884,498.9306899
118,8.692930936,6.284724356,127.1150505,45.4537798,40.89940743,522.2597611
119,16.46671644,23.08489035,186.0914726,30.0402304,98.12326172,304.1760291
120,9.79285538,40.03027115,181.6860822,33.93840512,97.35741177,164.0667882
121,6.809738998,33.09914327,184.2071896,28.72694418,10.77680672,144.7228721
122,19.48447348,29.76342888,190.6436752,39.75096948,28.90880311,333.7316585
123,18.87843464,13.75531391,152.1419838,25.60664933,65.09604797,430.001742
124,5.143883923,25.19821272,102.7701755,27.56242316,74.75443067,332.5213276
125,7.932979105,16.63087634,140.2080687,30.31650061,80.46142613,350.7108987
126,12.13520083,43.86740899,124.9385356,30.26640352,37.97062508,259.6025008
127,4.948640786,16.41814163,178.8290932,28.69673405,23.91652348,236.803042
128,5.144552886,35.13214352,196.6253543,37.76654365,95.06878738,136.2346773
129,10.38622258,33.14624539,153.3342282,32.78503293,30.46852706,262.2414616
130,5.093870464,24.82742208,148.2360211,38.2999747,16.01229579,297.0020034
131,5.638501651,16.25412108,186.337661,48.97448409,55.01665824,331.0573884
132,13.33213086,17.11776699,134.7591438,31.26924422,30.5804779,417.4426401
133,16.73602752,16.20016961,109.34661,24.56336755,16.63319674,474.2828752
134,18.72238703,25.14665103,148.2164039,49.40914598,84.7703008,486.9568861
135,4.362425438,35.04985405,148.7572003,25.34209106,18.93981842,162.5211847
136,4.880483449,26.59291224,145.8687233,29.64965703,83.1129926,245.7581997
137,18.677366,23.42082286,129.6423884,25.87859122,72.88245225,416.3569021
138,3.276629735,35.06332977,197.5674046,38.39375152,48.11368406,119.2202671
139,3.731042738,33.16545287,105.9344901,34.93780986,45.23525984,301.1377793
140,17.73366617,14.73812654,158.1427659,44.72599532,16.13700068,496.2523473
141,16.56219032,40.47963081,175.5310375,36.75293579,2.084534804,255.4467222
142,16.16400988,11.26594749,145.1545709,47.97885488,43.40085651,543.6295466
143,1.23332144,31.18771951,155.5694621,38.81398449,64.59163612,208.1378956
144,13.77043769,38.95099654,104.7922094,48.18078959,26.71728094,435.3179268
145,14.13712983,28.53274376,106.4526087,33.00226135,54.30584009,422.280925
146,15.79845159,36.90602221,199.8415195,48.4197127,25.46413234,278.9639071
147,9.679403545,8.730595709,119.2297983,44.98188316,73.15296269,530.8602803
148,0.750247104,32.69063493,161.5261719,37.06861481,13.3795122,173.6493916
149,15.67192407,36.81513189,127.7884749,47.92673395,3.076190827,419.8851694
150,5.63952691,35.4766093,105.503007,30.24748236,44.05101146,283.7670111
151,14.94440868,15.12420864,155.3115128,36.55813505,98.19576922,430.8664846
152,4.55343847,23.83068922,176.3808638,41.43173608,47.77687988,256.9472022
153,14.78866634,7.606829844,165.5643631,24.89023022,22.65729642,395.5681092
154,5.910646798,22.41384592,190.0667462,30.84117908,96.49187832,198.6957954
155,13.87709045,20.89385561,119.5044335,28.64638757,76.20247334,417.6308418
156,8.580789195,20.13978991,172.3331133,49.85444865,4.123941576,369.5751691
157,0.885274916,6.685958388,185.4007255,44.35292991,12.43291423,319.7001974
158,13.44027313,31.99999823,108.665759,46.49588365,16.87796254,457.5506422
159,18.74985516,26.71180224,122.9260341,36.59542581,87.52322842,464.352799
160,18.48387549,25.66566827,159.4479404,41.66443889,87.53645353,420.271059
161,7.007700699,29.85714702,106.7810697,45.34517036,51.53149671,404.0978373
162,7.146182517,11.68335305,193.9662915,43.54371896,71.40496809,331.1477187
163,5.961910964,12.6823333,146.5468577,43.82185084,55.38112051,409.5406487
164,17.88906852,42.85682905,139.5139034,32.60152299,26.82450674,305.7295191
165,7.644765027,19.05750937,167.6772961,44.64897889,16.16451225,349.9928962
166,4.417713243,43.86037058,161.7926352,39.37568896,10.75565563,154.3080833
167,2.105741425,29.24132821,110.3265541,37.4697483,64.16763501,312.3050784
168,11.34629397,44.74981176,116.3590348,33.30738535,88.44807797,278.7829262
169,5.581903229,34.11908016,103.4722546,41.9265896,74.54750742,353.7929901
170,9.238432058,6.650136269,107.9725782,37.23347124,75.20207057,522.7057028
171,8.677336083,22.80953914,163.2578271,36.3759247,23.21744786,305.2800953
172,18.61524694,44.31912848,171.4344046,34.97126384,88.00522502,252.2252086
173,10.08820794,41.87895761,165.9618686,30.42380969,43.96213545,169.8036449
174,0.238408384,40.70573348,190.6570283,26.98784064,79.68088341,11.77482956
175,7.670804229,31.67890437,159.2267828,30.38447159,93.94940134,220.1034083
176,18.09696289,7.203297773,166.9331169,38.67783292,93.41490986,497.2727731
177,6.712385802,25.9537299,119.7938858,37.15707843,6.54042005,357.5990992
178,3.101996582,38.11749928,133.3459963,25.65301578,11.42829586,163.8880564
179,7.348031947,8.71419991,169.000862,31.78290442,39.82703728,342.1079181
180,13.48201726,26.13283327,114.8544477,49.53316997,82.24254153,495.9801275
181,19.20250323,26.81012356,120.7984092,45.2019516,39.22554709,515.5772305
182,12.01403463,39.2614777,181.4384119,41.12990232,89.76242411,227.344168
183,13.26597294,16.00643979,105.3365825,34.76267963,0.64809439,499.7613238
184,8.81458595,38.99438103,104.8969089,32.45292184,41.50256558,306.6503647
185,8.940311274,19.17078076,142.6499635,28.33216279,77.21282197,330.7393151
186,8.689322357,34.15675188,128.0599562,47.22351863,36.44266693,361.950393
187,7.495373413,41.94537494,115.819118,32.70508756,16.89463813,255.1686862
188,15.67916604,18.93514973,160.5572393,34.70098618,8.078485649,395.5712144
189,13.94007936,12.11633012,156.3855321,45.042932,42.00045906,479.1464086
190,2.446123621,7.357292651,184.4175587,41.47841788,91.79699234,318.8744523
191,5.107140319,37.70992277,103.1848001,30.30474528,60.43368648,269.9659928
192,3.240346696,29.46300004,156.209638,37.52861481,42.22327499,230.8492647
193,8.177233089,45.24351051,125.2634421,40.64703901,74.28481242,263.0195787
194,18.15946996,39.8343001,138.3384427,47.13942899,38.02762588,401.6091585
195,1.633835515,34.23551632,173.8386582,24.01516698,4.853213108,83.32377565
196,16.66526773,27.93960109,199.9680669,28.94013843,48.4430692,243.7796291
197,19.48439314,19.13031119,169.4678884,27.71378409,76.70756407,379.6952078
198,13.09969939,29.17162201,117.7080675,26.87295509,65.30585548,354.9159023
199,6.009333098,45.41239185,177.5848778,28.15169602,50.84541399,73.2077044
200,8.513625873,29.04288465,151.0022063,43.87400524,88.89552206,328.2445646
201,8.708230171,27.83530231,136.8170742,46.39579654,49.49099803,378.4153221
202,2.264979877,16.16685117,150.2634225,26.71447736,16.96712814,258.6942335
203,15.85658639,37.57722787,186.1776806,35.23206647,60.10474448,236.9074679
204,2.801866917,24.07616066,121.0783237,31.93374383,37.6879265,301.0737769
205,1.001705444,10.67758347,187.9010069,37.21072323,31.45203646,256.2031559
